,us_house_price_idx,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_delinquency_rate,us_cpi,us_unemployment,us_sp500_close,us_sp500_log_ret,us_delinquency_rate_raw,delinquency_spline,covid_dummy,us_house_price_yoy,us_indprod_yoy,us_oil_yoy,us_reer_diff,us_bond_yield_10y_d1,us_house_price_yoy_L3,us_unemployment_L0,us_consumer_confidence_L2,us_credit_qoq_growth_L6,us_gdp_yoy_growth_L2,us_cpi_L0,us_bond_yield_10y_d1_L2,us_sp500_log_ret_L4,us_indprod_yoy_L3,us_reer_diff_L0,us_oil_yoy_L2,us_vix_log_ret_L0,us_cpi_L6,us_unemployment_L1,us_gdp_yoy_growth_L0,us_reer_diff_L1
1993-03-31,73.5355172054693,100.0406,10576.275,3.319905807050993,5.98,3.32,2.6600000000000006,,,20.44,0.0475922518160343,7812.554,0.4979001390302384,2.591337503404368,64.8522,12.53,-0.0031872536941791,4.6,3.0194104960460155,7.0,451.6700134277344,0.0359749896006343,4.6,4.6,0.0,-1.0871629157527596,3.891181483807293,4.874294510005139,,-0.7899999999999991,-0.5830768570784572,7.0,99.70819,0.0331242846507651,3.6653854414522735,3.0194104960460155,-0.8399999999999999,-0.0326547543390598,2.563756841098086,,-1.8876404494382104,-0.0031872536941791,3.396226415094339,7.4,3.319905807050993,
1993-06-30,73.7903750223239,99.6206,10637.847,2.806668207145946,5.96,3.45,2.51,,,18.82,-0.0825736311782702,7919.946,1.3746080987088185,3.4427740093033954,64.9301,11.26,-0.1068691461964326,4.46,2.9978586723768963,7.0,450.5299987792969,-0.0025271896248188,4.46,4.46,0.0,0.0519731762525177,2.8411547715022856,-13.827838827838823,,-0.0200000000000004,0.0953312451753785,7.0,100.0851,0.5390163581372898,4.382645388993267,2.9978586723768963,0.3499999999999996,0.0109630259612968,2.1710235537090616,,1.7754569190600478,-0.1068691461964326,2.980625931445613,7.0,2.806668207145946,
1993-09-30,74.0172720557835,99.66881,10688.606,2.286511740606612,5.36,3.39,1.97,,,18.72,-0.0053276631077876,8028.094,1.3655143608302334,4.105316830214356,65.3717,12.99,0.1429232079709639,4.08,2.763997165131116,6.7,458.9299926757813,0.0184730122279242,4.08,4.08,0.0,0.1849688622271639,2.833713227717971,-14.246449839670172,,-0.5999999999999996,0.0400840435728078,6.7,100.0406,0.4458136399003942,3.319905807050993,2.763997165131116,-0.7899999999999991,0.0233925312134045,4.152288897664813,,4.874294510005139,0.1429232079709639,3.189910979228472,7.0,2.286511740606612,
1993-12-31,74.2899670081485,100.3539,10833.987,2.6077107599381977,5.77,3.63,2.14,,,14.19,-0.2770549798774947,8151.103,1.532231685378882,4.852873377508793,66.5436,11.66,-0.1080156497601618,3.91,2.8109627547435068,6.5,466.4500122070313,0.0162531825525978,3.91,3.91,0.0,0.4655094662359138,3.407732938414032,-27.193432529502303,,0.4099999999999992,-1.0871629157527596,6.5,99.6206,0.5401946470869223,2.806668207145946,2.8109627547435068,-0.0200000000000004,0.0419740449156452,3.891181483807293,,-13.827838827838823,-0.1080156497601618,3.0147058823529305,6.7,2.6077107599381977,
1994-03-31,74.6910431721062,100.9474,10939.116,3.430706936043171,6.48,4.5,1.9800000000000004,88.26,,14.78,0.0407374243481043,8260.279,1.3394015509312185,5.730840388431235,67.4552,20.45,0.5618187015664644,3.6,2.6517794836008246,6.5,445.7699890136719,-0.0453477602864111,3.6,3.6,0.0,1.5713848362665097,4.013742016462052,-27.690802348336607,,0.7100000000000009,0.0519731762525177,6.5,99.66881,0.7204080793014489,2.286511740606612,2.6517794836008246,-0.5999999999999996,0.0359749896006343,2.8411547715022856,,-14.246449839670172,0.5618187015664644,2.9927007299270114,6.5,3.430706936043171,
1994-06-30,74.877131820295,101.0782,11087.361,4.225610689832271,7.1,5.51,1.59,87.11,-0.0131153160106005,19.37,0.2704505618988489,8399.652,1.6872674639682117,6.05693523667965,68.6265,14.97,-0.3119346840572737,3.29,2.494802494802495,6.1,444.2699890136719,-0.003370638302056,3.29,3.29,0.0,1.472762264241556,5.692891278467149,2.922422954303938,-1.1500000000000057,0.6199999999999992,0.1849688622271639,6.1,100.3539,0.8083499059587718,2.6077107599381977,2.494802494802495,0.4099999999999992,-0.0025271896248188,2.833713227717971,-1.1500000000000057,-27.193432529502303,-0.3119346840572737,2.966714905933454,6.5,4.225610689832271,
1994-09-30,74.788679868747,100.9211,11152.176,4.337048254936149,7.46,5.96,1.5,84.73,-0.0277019576204279,18.36,-0.0535510922265601,8528.83,1.5378970462109676,6.237296175156892,69.3961,14.28,-0.0471882415200987,3.25,2.965517241379323,5.9,462.7099914550781,0.0406680284994858,3.25,3.25,0.0,1.0421997346540035,6.156180732641192,-1.923076923076916,-2.3799999999999955,0.3600000000000003,0.4655094662359138,5.9,100.9474,0.4979001390302384,3.430706936043171,2.965517241379323,0.7100000000000009,0.0184730122279242,3.407732938414032,-2.3799999999999955,-27.690802348336607,-0.0471882415200987,3.0194104960460155,6.1,4.337048254936149,-1.1500000000000057
1994-12-31,74.8073314536137,100.4977,11279.932,4.116167021429895,7.81,7.2,0.6099999999999994,86.09,0.0159235304594906,17.77,-0.0326627430257843,8699.19,1.9974603785044345,6.724083844848972,71.1523,13.2,-0.0786431273191131,3.29,2.597402597402576,5.5,459.2699890136719,-0.0074622409972477,3.29,3.29,0.0,0.6964122697866504,6.925835091579047,25.22903453136012,1.3599999999999994,0.3499999999999996,1.5713848362665097,5.5,101.0782,1.3746080987088185,4.225610689832271,2.597402597402576,0.6199999999999992,0.0162531825525978,4.013742016462052,1.3599999999999994,2.922422954303938,-0.0786431273191131,2.9978586723768963,5.9,4.116167021429895,-2.3799999999999955
1995-03-31,74.8905655305094,99.5805,11319.951,3.481405627292,7.2,6.49,0.71,86.0,-0.0010459644163555,19.18,0.0763564272887322,8807.641,1.2466792885314604,6.626434772965895,71.3113,13.37,0.0127965615215266,3.48,2.7872195785180187,5.4,500.7099914550781,0.0863888256191798,3.48,3.48,0.0,0.2671302340006898,5.7165348260771465,29.76995940460081,-0.0900000000000034,-0.6099999999999994,1.472762264241556,5.4,100.9211,1.3655143608302334,4.337048254936149,2.7872195785180187,0.3600000000000003,-0.0453477602864111,5.692891278467149,-0.0900000000000034,-1.923076923076916,0.0127965615215266,2.763997165131116,5.5,3.481405627292,1.3599999999999994
1995-06-30,74.9161560125794,98.83797,11353.721,2.4023751008017014,6.17,5.65,0.5199999999999996,82.2,-0.0451919941913734,17.38,-0.0985479496180461,8978.958,1.9450951736111888,6.8967857239800034,71.7749,11.38,-0.1611559624156668,3.7,3.0425963488843744,5.6,544.75,0.0842998997147341,3.7,3.7,0.0,0.0521176377028753,4.587732144288292,-10.273618998451228,-3.799999999999997,-1.0300000000000002,1.0421997346540035,5.6,100.4977,1.532231685378882,4.116167021429895,3.0425963488843744,0.3499999999999996,-0.003370638302056,6.156180732641192,-3.799999999999997,25.22903453136012,-0.1611559624156668,2.8109627547435068,5.4,2.4023751008017014,-0.0900000000000034
1995-09-30,75.2833888472521,98.62815,11450.31,2.6733258155179795,6.2,5.65,0.5499999999999998,85.2,0.0358461317731358,17.54,0.009163867106791,9125.043,1.6269705237511811,6.990560252695843,72.7144,12.74,0.1128892214458324,3.85,2.54521098459477,5.6,584.4099731445312,0.0702757715197023,3.85,3.85,0.0,0.6614757465612575,4.7816808149161005,-4.466230936819171,3.0,0.0300000000000002,0.6964122697866504,5.6,99.5805,1.3394015509312185,3.481405627292,2.54521098459477,-0.6099999999999994,0.0406680284994858,6.925835091579047,3.0,29.76995940460081,0.1128892214458324,2.6517794836008246,5.6,2.6733258155179795,-3.799999999999997
1995-12-31,75.3955893480103,98.58084,11528.067,2.1997916299495213,5.71,5.18,0.5300000000000002,86.34,0.0132915562920614,19.54,0.1079796596705996,9279.97,1.6978221362901946,6.676253766155216,73.0305,12.52,-0.0174192844720648,3.95,2.5316455696202667,5.6,615.9299926757812,0.0525305634770342,3.95,3.95,0.0,0.7863639605449224,2.6396897921781903,9.960607765897578,1.1400000000000006,-0.4900000000000002,0.2671302340006898,5.6,98.83797,1.6872674639682117,2.4023751008017014,2.5316455696202667,-1.0300000000000002,-0.0074622409972477,5.7165348260771465,1.1400000000000006,-10.273618998451228,-0.0174192844720648,2.494802494802495,5.6,2.1997916299495213,3.0
1996-03-31,75.6313983003169,98.94079,11614.418,2.601309846659228,6.27,5.41,0.8599999999999994,86.81,0.005428832276385,21.43,0.0923281628708489,9410.866,1.4105218012558265,6.848882691744596,73.585,18.88,0.4107757950454022,4.04,2.8439153439153486,5.5,645.5,0.0468919014652313,4.04,4.04,0.0,0.989220423907322,3.188414739319012,11.730969760166833,0.4699999999999988,0.5599999999999996,0.0521176377028753,5.5,98.62815,1.5378970462109676,2.6733258155179795,2.8439153439153486,0.0300000000000002,0.0863888256191798,4.587732144288292,0.4699999999999988,-4.466230936819171,0.4107757950454022,2.965517241379323,5.6,2.601309846659228,1.1400000000000006
1996-06-30,75.6114040921146,99.41933,11808.14,4.002379484223728,6.91,5.7,1.21,87.06,0.0028757137204349,20.92,-0.0240861702887633,9590.932,1.913383954250336,6.815646091673444,75.4433,13.68,-0.3221682485229501,4.27,2.8215223097112663,5.3,670.6300048828125,0.038192366082999,4.27,4.27,0.0,0.9280349080089678,5.110978907668273,20.368239355581142,0.25,0.6400000000000006,0.6614757465612575,5.3,98.58084,1.9974603785044345,2.1997916299495213,2.8215223097112663,-0.4900000000000002,0.0842998997147341,4.7816808149161005,0.25,9.960607765897578,-0.3221682485229501,2.597402597402576,5.5,4.002379484223728,0.4699999999999988
1996-09-30,75.7642213344847,99.65776,11914.063,4.0501348871777365,6.83,5.71,1.12,86.81,-0.0028757137204348,24.2,0.1456469939659185,9739.846,1.5526541111958505,6.737535373805903,76.3158,16.95,0.2143329216320547,4.46,3.004572175048992,5.2,687.3300170898438,0.0245969747309183,4.46,4.46,0.0,0.6386966561882534,4.952801645891314,37.97035347776512,-0.25,-0.08,0.7863639605449224,5.2,98.94079,1.2466792885314604,2.601309846659228,3.004572175048992,0.5599999999999996,0.0702757715197023,2.6396897921781903,-0.25,11.730969760166833,0.2143329216320547,2.7872195785180187,5.3,4.0501348871777365,0.25
1996-12-31,75.6957701866914,99.89985,12037.775,4.421452442981133,6.3,5.51,0.79,87.46,0.0074597235810578,25.9,0.0678903355428512,9877.376,1.4120346461330202,6.4375854663323295,77.5333,20.92,0.2104378053702631,4.6,3.378817413905133,5.4,740.739990234375,0.0748351222470773,4.6,4.6,0.0,0.3981411131300127,6.165643121709419,32.54861821903787,0.6499999999999915,-0.5300000000000002,0.989220423907322,5.4,99.41933,1.9450951736111888,4.002379484223728,3.378817413905133,0.6400000000000006,0.0525305634770342,3.188414739319012,0.6499999999999915,20.368239355581142,0.2104378053702631,3.0425963488843744,5.2,4.421452442981133,-0.25
1997-03-31,75.831180940237,100.2664,12115.472,4.314068944306992,6.69,6.02,0.6700000000000008,90.55,0.0347206383446478,20.35,-0.2411620568168879,10009.716,1.3398295255744097,6.363388874095111,79.082,22.14,0.0566802880837686,4.7,2.7652733118971096,5.2,757.1199951171875,0.021872081553083,4.7,4.7,0.0,0.2641530427968552,7.470272474009643,-5.039664022398494,3.0900000000000034,0.3900000000000005,0.9280349080089678,5.2,99.65776,1.6269705237511811,4.0501348871777365,2.7652733118971096,-0.08,0.0468919014652313,5.110978907668273,3.0900000000000034,37.97035347776512,0.0566802880837686,2.54521098459477,5.4,4.314068944306992,0.6499999999999915
1997-06-30,76.2645711104951,100.6874,12317.221,4.31127171595187,6.49,5.67,0.8200000000000003,89.15,-0.0155818400202728,19.82,-0.026389382986762,10206.773,1.9686572526133483,6.421075657714992,79.9792,21.53,-0.0279386159042191,4.73,2.233567326100827,5.0,885.1400146484375,0.1562240862357894,4.73,4.73,0.0,0.8638472281043308,6.012329789391524,-5.258126195028689,-1.3999999999999917,-0.2000000000000001,0.6386966561882534,5.0,99.89985,1.6978221362901946,4.421452442981133,2.233567326100827,-0.5300000000000002,0.038192366082999,4.952801645891314,-1.3999999999999917,32.54861821903787,-0.0279386159042191,2.5316455696202667,5.2,4.31127171595187,3.0900000000000034
1997-09-30,76.6141314803323,100.9503,12471.01,4.674702492340366,6.21,5.47,0.7400000000000002,91.78,0.0290740646575379,21.13,0.0640023027261233,10437.733,2.262811174501489,7.165277561883432,82.2156,22.91,0.0621261850891324,4.7,2.21940393151554,4.9,947.280029296875,0.0678489098135022,4.7,4.7,0.0,1.1217829879032415,7.7307713474798145,-12.685950413223146,2.6299999999999955,-0.2800000000000002,0.3981411131300127,4.9,100.2664,1.4105218012558265,4.314068944306992,2.21940393151554,0.3900000000000005,0.0245969747309183,6.165643121709419,2.6299999999999955,-5.039664022398494,0.0621261850891324,2.8439153439153486,5.0,4.674702492340366,-1.3999999999999917
1997-12-31,77.1938817020323,100.9417,12577.495,4.483552816031211,5.81,5.51,0.2999999999999998,96.74,0.0526325584281495,17.65,-0.1799580482486596,10642.672,1.963443594504665,7.747968691279961,83.9538,24.01,0.0468969137677577,4.81,1.6970458830924071,4.7,970.4299926757812,0.0241445137410792,4.81,4.81,0.0,1.9791218342135155,8.280957988374027,-31.853281853281857,4.959999999999994,-0.4000000000000003,0.2641530427968552,4.7,100.6874,1.913383954250336,4.31127171595187,1.6970458830924071,-0.2000000000000001,0.0748351222470773,7.470272474009643,4.959999999999994,-5.258126195028689,0.0468969137677577,2.8215223097112663,4.9,4.483552816031211,2.6299999999999955
1998-03-31,78.1561420030997,100.7223,12703.742,4.855526883310857,5.65,5.41,0.2400000000000002,97.23,0.0050523384267287,15.75,-0.1138954181076636,10867.157,2.109291726739282,8.566087189686499,84.488,24.22,0.0087083278917841,4.76,1.3767209011263937,4.7,1101.75,0.1269158390309503,4.76,4.76,0.0,3.065969742308261,6.835942439493192,-22.604422604422613,0.4900000000000091,-0.1599999999999992,0.8638472281043308,4.7,100.9503,1.5526541111958505,4.674702492340366,1.3767209011263937,-0.2800000000000002,0.021872081553083,6.012329789391524,0.4900000000000091,-12.685950413223146,0.0087083278917841,3.004572175048992,4.7,4.855526883310857,4.959999999999994
1998-06-30,79.0918044189641,100.2141,12821.339,4.09279008633523,5.5,5.38,0.1200000000000001,99.89,0.0269902747224925,14.3,-0.0965808280057804,11192.516,2.993966131160164,9.657734133991225,84.8248,19.71,-0.2060526169603172,4.76,1.6229712858926382,4.5,1133.8399658203125,0.028710246991482,4.76,4.76,0.0,3.707138540611199,6.058575229559682,-27.850655903128157,2.6599999999999966,-0.1500000000000003,1.1217829879032415,4.5,100.9417,1.4120346461330202,4.483552816031211,1.6229712858926382,-0.4000000000000003,0.1562240862357894,7.7307713474798145,2.6599999999999966,-31.853281853281857,-0.2060526169603172,3.378817413905133,4.7,4.09279008633523,0.4900000000000091
1998-09-30,79.876416902589,99.76799,12982.752,4.103452727565782,4.81,4.41,0.3999999999999994,100.34,0.0044948385120486,16.19,0.1241342304236821,11437.292,2.186961358822259,9.576399396305678,86.2021,40.95,0.7312256891344496,4.72,1.4267990074441794,4.6,1017.010009765625,-0.1087431122693791,4.72,4.72,0.0,4.258072706983773,4.848836473856544,-23.37908187411263,0.4500000000000028,-0.6900000000000004,1.9791218342135155,4.6,100.7223,1.3398295255744097,4.855526883310857,1.4267990074441794,-0.1599999999999992,0.0678489098135022,8.280957988374027,0.4500000000000028,-22.604422604422613,0.7312256891344496,2.7652733118971096,4.5,4.103452727565782,2.6599999999999966
1998-12-31,80.9744605575647,100.0401,13191.67,4.883126568525764,4.65,4.53,0.1200000000000001,96.14,-0.0427589565902922,12.14,-0.2878879820581915,11726.858,2.53177063241894,10.187159765893371,87.1185,24.42,-0.5169493416165198,4.74,1.606922126081578,4.4,1229.22998046875,0.1895209817430942,4.74,4.74,0.0,4.897511010167088,3.7695732652959,-31.21813031161472,-4.200000000000003,-0.1599999999999992,3.065969742308261,4.4,100.2141,1.9686572526133483,4.09279008633523,1.606922126081578,-0.1500000000000003,0.0241445137410792,6.835942439493192,-4.200000000000003,-27.850655903128157,-0.5169493416165198,2.233567326100827,4.6,4.883126568525764,0.4500000000000028
1999-03-31,81.9868653045711,100.6462,13315.597,4.816336792733988,5.23,4.72,0.5100000000000007,98.42,0.0234385729720175,16.66,0.3165048511073443,11996.079,2.295764133922318,10.38838400880746,88.2267,23.26,-0.0486673215920402,4.66,1.728395061728394,4.2,1286.3699951171875,0.0454363532741427,4.66,4.66,0.0,4.901372052524633,4.425125461604007,5.777777777777771,2.280000000000001,0.5800000000000001,3.707138540611199,4.2,99.76799,2.262811174501489,4.103452727565782,1.728395061728394,-0.6900000000000004,0.1269158390309503,6.058575229559682,2.280000000000001,-23.37908187411263,-0.0486673215920402,2.21940393151554,4.4,4.816336792733988,-4.200000000000003
1999-06-30,82.7323340119465,101.0616,13426.748,4.721885912228041,5.9,5.07,0.8300000000000001,98.42,0.0,19.33,0.1486476564815427,12265.22,2.24357475471777,9.584118530632434,88.9188,21.09,-0.0979361525998352,4.58,1.96560196560196,4.3,1372.7099609375,0.0649625652261039,4.58,4.58,0.0,4.602916344780605,4.826418688874012,35.17482517482515,0.0,0.6699999999999999,4.258072706983773,4.3,100.0401,1.963443594504665,4.883126568525764,1.96560196560196,-0.1599999999999992,0.028710246991482,4.848836473856544,0.0,-31.21813031161472,-0.0979361525998352,1.6970458830924071,4.2,4.721885912228041,2.280000000000001
1999-09-30,83.5511952282669,101.2431,13604.771,4.791118246732284,5.92,5.22,0.7000000000000002,96.98,-0.0147392637606259,24.54,0.2386461460625259,12616.408,2.8632833328713136,10.30939841354055,89.4299,25.41,0.1863438028413894,4.6,2.629969418960254,4.2,1282.7099609375,-0.0678118628100317,4.6,4.6,0.0,4.600579830914775,3.7444563415508494,51.57504632489189,-1.4399999999999975,0.0199999999999995,4.897511010167088,4.2,100.6462,2.109291726739282,4.816336792733988,2.629969418960254,0.5800000000000001,-0.1087431122693791,3.7695732652959,-1.4399999999999975,5.777777777777771,0.1863438028413894,1.3767209011263937,4.3,4.791118246732284,0.0
1999-12-31,84.2847229997912,101.381,13827.98,4.823574270732967,6.28,5.98,0.2999999999999998,96.69,-0.0029947871817501,25.76,0.0485184619533876,12900.875,2.2547384326822684,10.01135171927552,91.6634,24.64,-0.0307716586667536,4.55,2.676399026763998,4.0,1469.25,0.1357770696152514,4.55,4.55,0.0,4.088032719740364,5.216917187508963,112.19110378912688,-0.2900000000000062,0.3600000000000003,4.901372052524633,4.0,101.0616,2.993966131160164,4.721885912228041,2.676399026763998,0.6699999999999999,0.1895209817430942,4.425125461604007,-0.2900000000000062,35.17482517482515,-0.0307716586667536,1.6229712858926382,4.2,4.823574270732967,-1.4399999999999975
2000-03-31,85.0823308549841,101.2127,13878.147,4.224744861233032,6.26,6.28,-0.0200000000000004,98.49,0.0184450356861548,26.86,0.0418152898589386,13184.822,2.2009902429098727,9.909429572779583,92.1504,24.11,-0.0217444464722393,4.43,3.762135922330101,4.0,1498.5799560546875,0.0197658972343551,4.43,4.43,0.0,3.775562754977546,4.447293166354416,61.224489795918366,1.7999999999999972,-0.0200000000000004,4.602916344780605,4.0,101.2431,2.186961358822259,4.791118246732284,3.762135922330101,0.0199999999999995,0.0454363532741427,4.826418688874012,1.7999999999999972,51.57504632489189,-0.0217444464722393,1.4267990074441794,4.0,4.224744861233032,-0.2900000000000062
2000-06-30,86.0989232694648,100.7844,14130.908,5.2444568111355006,6.1,6.08,0.0199999999999995,100.52,0.0204016924937805,32.44,0.1887540381521205,13514.042,2.4969620371059875,10.181814920564005,92.9862,19.54,-0.210163045578443,4.51,3.7349397590361377,4.0,1454.5999755859375,-0.0297870317907133,4.51,4.51,0.0,4.069254539624323,4.574285752844154,67.8220382824625,2.030000000000001,-0.1600000000000001,4.600579830914775,4.0,101.381,2.53177063241894,4.823574270732967,3.7349397590361377,0.3600000000000003,0.0649625652261039,3.7444563415508494,2.030000000000001,112.19110378912688,-0.210163045578443,1.606922126081578,4.0,5.2444568111355006,1.7999999999999972
